Título,Duración (min),Puntuación,Idioma Original,Fecha de Estreno,País(es) de Producción,Directores,Reparto,Palabras clave,Reseñas
Jak pokonać kaca,78,2.5,pl,2014-08-14,Poland,Bartosz Brzeskot,"Cezary Pazura, Krzysztof Pyziak, Bartosz Żukowski, Joanna Kurowska, Jan Stawarz",,
Les Galets d'Étretat,100,2.0,fr,1972-03-10,France,Sergio Gobbi,"Virna Lisi, Maurice Ronet, Annie Cordy, Juliette Mills, Grégoire Aslan",,
Karin Månsdotter,108,4.5,sv,1954-11-01,Sweden,Alf Sjöberg,"Ulla Jacobsson, Jarl Kulle, Ulf Palme, Stig Järrel, Olof Widgren","royalty, king, madness",
Niewidzialne,101,5.0,pl,2017-09-18,Poland,Paweł Sala,"Halina Rasiakówna, Sandra Korzeniak, Natalia Rybicka, Aleksandra Popławska, Paweł Dobek",,
Jelgava '94,80,6.6,lv,2019-09-17,Latvia,Jānis Ābele,"Matīss Barons, Alekss Tauriņš, Endijs Žuks, Elizabete Zviedre, Kaspars Aniņš","coming of age, 1990s",
ورقة شفرة,88,6.5,ar,2008-04-02,Egypt,Amir Ramses,"Ahmad Fahmy, Shiko, Hesham Maged, Ahmed Al Fishawy, Farah Youssef",,
Karl Fredrik regerar,91,6.5,sv,1934-03-03,Sweden,Gustaf Edgren,"Sigurd Wallén, Dagmar Ebbesen, Gull-Maj Norin, Björn Berglund, Pauline Brunius",,
Siete noches en Japón,104,6.5,en,1976-08-05,United Kingdom,Lewis Gilbert,"Michael York, Hidemi Aoki, Anne Lonnberg, Eléonore Hirt, James Villiers",,
ཤུལ་ལ་ས་བདག་འཇིེེན་འབད་མི།,75,7.2,dz,2018-08-23,"Bhutan, Hungary, Netherlands","Arun Bhattarai, Dorottya Zurbo","Gyembo, Tashi, Tenzin, Phub Lamo",,
En nolla för mycket,110,6.1,sv,1962-09-10,Sweden,Börje Nyberg,"Carl-Gustaf Lindstedt, Lill-Babs, Birgitta Andersson, Siv Ericks, Ingvar Kjellson",,
Showtime 1958,109,5.0,ms,2020-06-07,Malaysia,Anwardi Jamil,"Fatin Afeefa, Farah Ahmad, Henzi Andalas, Chi Azim, Amai Kamarudin",,
Milea: Suara dari Dilan Extended,0,9.0,id,2020-12-31,Indonesia,"Fajar Bustomi, Pidi Baiq","Iqbaal Ramadhan, Vanesha Prescilla, Ira Wibowo, Bucek Depp, Happy Salma",,
The Birthday Present,100,7.1,en,1957-10-31,United Kingdom,Pat Jackson,"Tony Britton, Sylvia Syms, Jack Watling, Walter Fitzgerald, Geoffrey Keen",,
Känd från tv,101,5.1,sv,2001-09-21,Sweden,Fredrik Lindström,"Johan Rheborg, Alexandra Rapaport, Kristian Luuk, Gerd Hegnell, Pia Johansson","talk show, author",
Now and Forever,77,0.0,tl,1953-12-30,Philippines,Rolando del Mar,"Armi Kuusela, Virgilio Hilario, Ricky Blake, Caviteno Ilano, Oscar Keesee",,
The Last Summer,8,3.5,de,2020-05-09,United States of America,William Stead,"Weston Warren, David Benne, Jordan Richards, Jason Paul Tate","homophobia, lgbt, lgbt teen, homophobic attack, nazi germany",
Pride Ruler at Risk,44,8.0,en,2016-11-11,United States of America,Reinhard Radke,Colin Solman,"lion, nature, nature documentary, big cats",
Tillfällig fru sökes,93,3.0,sv,2003-09-05,Sweden,Lisa Ohlin,"Gustaf Hammarsten, Lotta Östlin Stenshäll, Irina Jonsson, Lars Väringer, Claes Hartelius",woman director,
ఐతే,140,5.9,te,2003-04-11,India,Chandra Sekhar Yeleti,"Mohit Chadda, Shashank, Janardhan Chowdary, Abhishek, Pavan Malhotra",airplane hijacking,
Prophetess,141,5.0,yo,2021-04-02,,Niyi Akinmolayan,"Toyin Abraham, Deyemi Okanlawon, Kehinde Bankole, Stan Nze, Uzor rukwe",,
Backyard Wilderness,43,6.25,en,2018-03-31,United States of America,"Andrew Young, Susan Todd","Christopher Ryan, Andrew Young, Susan Todd, Katherine van Hengel, Bobby Axelrod",,
Sommore: Queen Chandelier,69,6.3,en,2023-02-21,United States of America,Kevin Layne,Sommore,"stand-up comedy, stand-up",
Fentanilo: La muerte por 10 dólares,52,7.6,en,2020-06-16,Canada,Dominic Streeter,,,
Rosa Piedra Estrella,90,4.8,it,2020-08-27,Italy,Marcello Sannino,"Ivana Lotito, Ludovica Nasti, Fabrizio Rongione, Imma Piro, Valentina Curatoli",,
Hari Kondabolu: Warn Your Relatives,67,5.7,en,2018-05-08,United States of America,Bobcat Goldthwait,Hari Kondabolu,stand-up comedy,
The Case of the Deceased Dead,92,4.3,cs,2020-01-16,Czech Republic,Miloslav Šmídmajer,"David Novotný, Hana Vagnerová, Martin Pechlát, Lukáš Příkazký, Miroslav Táborský",,
Diagnosis,78,5.0,pl,2018-11-17,Poland,Ewa Podgórska,,,
Delivery From Earth,6,2.0,en,2014-02-15,United States of America,Michael Becker,"Phil Bluehouse, Casey Draper, MorningStar Angeline, Ryan Begay, Tailinh Agoyo",,
Wave of Cinema: Generasi 90an,51,0.0,id,2020-10-09,Indonesia,Adriano Rudiman,"Gamaliel Tapiheru, Jevin Julian, PADI Reborn, Dul Jaelani, Efek Rumah Kaca",,
Las huellas del samurai,70,5.0,es,2018-05-11,Spain,Juanma Suárez,,history,
Romantic Road,80,6.5,en,2017-09-28,"United Kingdom, Canada, Bangladesh, India, Nepal",Oliver McGarvey,,,
بشتري راجل,100,6.8,ar,2017-02-14,Egypt,Mohamed Ali,"Mohamed Mamdouh, Nelly Karim, Laila Araby, Laila Ezz El Arab, Mohamed Shaheen",,
Nausicaa,0,0.0,it,2018-10-30,,Luca Merli,,"surf, mediterranean sea",
Stamping Ground,96,6.7,en,1971-10-14,"Germany, Netherlands","Hansjürgen Pohland, George Sluizer","Marty Balin, Marc Bolan, Dr. John, David Gilmour, Bob Hite",,
"星野源 DOME TOUR ""POP VIRUS"" at TOKYO DOME",153,7.0,ja,2019-10-10,Japan,,Gen Hoshino,"concert, concert film, live tour, gen hoshino, japanese singer-songwriter",
Verbrande Brug,85,3.5,nl,1977-04-21,"Belgium, France",Guido Henderickx,"Jan Decleir, Doris Arden, Malka Ribowska, Yves Beneyton, Rita Corita","worker, cafe",
Hienas,122,7.3,es,2009-05-01,Spain,Norberto Ramos del Val,"Javier Albalá, Helena Alonso, Ángela Boj, Emilio Buale, Pedro Casablanc",,
Yuri Marçal: Ledo Engano,59,7.2,pt,2022-06-02,,"Fabio Ock, Riccardo Melchiades",Yuri Marçal,yuri marçal,
سطار,100,6.9,ar,2022-12-03,Saudi Arabia,Abdullah Al-Arak,"Ibraheem Al-Hajjaj, Abdulaziz Alshehri, Abdul Aziz Al Mubadala, Shahd Algefari, Moath Al Marri",,
Lejos del fuego,78,6.8,es,2019-06-28,,Javier Artigas,"Javier Artigas, Érica Molina, Laura Salcedo, Azucena Abril, Maria Asensi",,
Rory Scovel Tries Stand-Up for the First Time,66,7.1,en,2017-06-20,United States of America,Scott Moran,"Rory Scovel, Jack White",stand-up comedy,
Formentor: el mar de las palabras,91,7.0,es,2020-08-01,Spain,José Luis López-Linares,,,
Ricardo Quevedo: los amargados somos más,58,8.2,es,2019-04-03,,Fernando Ayllón,Ricardo Quevedo,stand-up comedy,
Everybody Happy,95,4.7,nl,2016-09-28,"Belgium, Netherlands",Nic Balthazar,"Peter van den Begin, Barbara Sarafian, Josse De Pauw, Leen Dendievel, Rik Verheye",,
Tim Dillon: This Is Your Country,47,5.0,en,2024-09-30,,Michael Shea,Tim Dillon,stand-up comedy,
Post Truth Times,103,7.0,en,2018-04-03,Spain,Héctor Carré,"Noam Chomsky, Gay Talese, Iñaki Gabilondo, María Cedrón, Casimiro García-Abadillo","pós-verdade, mídia",
Take Me High,90,4.9,en,1973-12-07,,David Askey,"Cliff Richard, Deborah Watling, Hugh Griffith, George Cole, Anthony Andrews","musical, fast food",
Efekt domina,72,5.6,ru,2014-11-28,"Germany, Poland","Elwira Niewiera, Piotr Rosołowski",,"family's daily life, woman director",
Livet i 8 bitar,85,5.0,sv,2002-09-27,Sweden,"Pontus Klänge, Jonathan Metzger","Sunil Munshi, Jan Malmsjö, Kjell Bergqvist, Bojan Westin, Eva Dahlman",,
Los  intocables contra Al Catone,75,6.9,es,1998-01-01,Spain,Claudio Biern Boyd,"Juan Carlos Gustems, Carles Canut",mafia,
Wild Venice,52,7.0,en,2014-12-16,"Austria, Germany, Italy",Klaus T. Steindl,Andrew Solomon,"wildlife, animals, nature, nature documentary",
Fieber,80,2.8,de,2014-02-11,"Luxembourg, Austria",Elfi Mikesch,"Carolina Cardoso, Eva Mattes, Martin Wuttke, Nicole Max, Louis Wagner",woman director,
غدوة,96,4.5,ar,2022-02-12,Tunisia,Dhafer L'Abidine,"Dhafer L'Abidine, Ahmed Berrhouma, Najla Ben Abdallah, Bahri Rahali, Ghanem Zrelli",,
Olímpicamente grandes,94,5.2,de,2010-07-08,,Jan Tenhaven,"Alfred Proksch, Gabre Gabric, Herbert Liedke, Ilse Pleuger, Jiří Soukup","competition, sport competition, elderly, track and field",
Bad Hombres,101,10.0,en,2020-10-16,United States of America,Andrew Glazer,,sports documentary,
Reggae in a Babylon,55,7.0,de,1978-01-01,Germany,Wolfgang Büld,"Alton Ellis, Jimmy Lindsay, Christine McNabb, Wraydene McNabb, Ronnie 'Stepper' McQueen",,
"The Prosecutor, the Defender, the Father and his Son",105,5.5,en,2015-11-25,"Bulgaria, Netherlands, Sweden",Iglika Triffonova,"Romane Bohringer, Samuel Fröler, Izudin Bajrović, Ovanes Torosian, Nermina Lukač","based on true story, woman director",
Pensionat Paradiset,79,5.2,sv,1937-02-08,Sweden,Weyler Hildebrand,"Thor Modéen, Julia Cæsar, Maritta Marke, Carl Hagman, Nils Ericson",,
Valley of a Thousand Hills,98,3.667,zu,2022-07-28,South Africa,Bonie Sithebe,"Sibongokuhle Nkosi, Mandisa Vilakazi, Wiseman Mncube, Glen Gabela, Philani Sithebe","coming out, sexual identity, coming of age, lgbt",
Comuneros,84,6.0,es,2022-06-17,Spain,Pablo García Sanz,,,
The deliverance of a suitcase,3,0.0,en,2024-06-16,,,"Jack Lugar, Hadley Emma Hayes, abby stokes, tiberius henson",suitcase,
La Ciguapa Siempre,13,3.417,en,2021-06-05,United States of America,Monica Suriyage,"Cheyenne Washington, Michael Bonini, Jillian Kinsey, Lotus Lain, Nina A. Martinez",,
Mo Farah: No Easy Mile,76,6.6,en,2016-12-05,United Kingdom,"David Soutar, Joe Pearlman",Mo Farah,,
Turilas & Jäärä,65,9.7,fi,2001-04-13,"Finland, Sweden","Mariko Härkönen, Ismo Virtanen","Vesa Vierikko, Sam Huber, Max Bremer",family,
Soy Rada: Serendipia,70,4.5,es,2021-05-27,Argentina,Pablo Faro,Agustín Aristarán,stand-up comedy,
第三只眼,68,0.0,zh,2024-07-11,China,,"刘佐优, Liu Guang Hou, 穆青, 池金泽",,
Smart Casuals,96,5.0,en,2024-04-12,South Africa,Zwo Farisani,"Anga Makubalo, Angela Sithole, Terrence Ngwila, Mandisa Constable, Nyaniso Dzedze",,
Gái Già Lắm Chiêu,95,4.5,vi,2016-02-19,Vietnam,"Bảo Nhân, Namcito","Bình Minh, Diễm My 9x, Việt Hương, Huỳnh Lập, Diệu Nhi",,
Europe‘s Largest Desert,49,8.0,en,2016-07-07,Spain,Alvaro Mendoza,Stephen Hughes,"desert scientist, climate change, animal species, nature, science",
The Claudia Kishi Club,17,5.0,en,2020-03-26,United States of America,Sue Ding,"Naia Cucukov, CB Lee, Yumi Sakagawa, Sarah Kuhn, Phil Yu",,
Kaagar,130,0.0,mr,2019-02-14,India,Makarand Mane,"Rinku Rajguru, Shubhankar Tawde, Shashank Shende, Shantanu Gangne, Bharati Patil",,
Wild,80,6.875,nl,2018-02-01,Netherlands,Luc Enting,André van Duin,"wild boar, fox, holland, nature, nature documentary, red deer, veluwe",
No Place for Jennifer,89,5.1,en,1950-01-17,United Kingdom,Henry Cass,"Leo Genn, Rosamund John, Beatrice Campbell, Guy Middleton, Janette Scott",child of divorce,
Tôt ou tard,100,7.0,fr,2000-07-19,,Anne-Marie Etienne,"Philippe Torreton, Amira Casar, Laura del Sol, Anny Duperey, Pascal Légitimus",,
Viață,97,6.8,ro,2015-05-01,Romania,Vlad Păunescu,"Rodica Lazăr, Tudor Chirilă, Adrian Titieni, Ioana Blaj, Mircea Badea",,
Bleach,23,2.0,en,2016-07-10,,Jesse Lewis Reece,,,
El verano ha terminado,100,7.2,ro,2016-12-25,,Radu Potcoavă,"Dan Hurduc, Nicholas Bohor, Crina Tofan, Șerban Pavlu, Ofelia Popii",,
Les plus grands peintres du monde : Joan Miró,0,0.0,fr,2019-05-02,,Jacques Vichet,,"painter, surrealism, sculpture, painter as artist, ceramics, spanish, catalan, joan miró",
Luciano Mellera: Infantiloide,66,7.3,es,2018-07-06,Argentina,"Jan Suter, Raúl Campos",Luciano Mellera,stand-up comedy,
A la diestra del cielo,84,5.3,es,2007-04-12,Spain,Francisco Bech,"Silvio, Eva Fernández, Narci Fernández, Gualberto, Antonio Smash",biography,
Chris Rock Total Blackout: The Tamborine Extended Cut,98,6.7,en,2021-01-12,,Chris Rock,"Chris Rock, Jeff Ross, Dave Chappelle, Jimmy Fallon, Questlove",,
Kenny Sebastian: The Most Interesting Person in the Room,67,6.2,en,2020-05-29,India,"Neville Shah, Angshuman Ghosh",Kenny Sebastian,"stand-up comedy, india",
Sitara,128,2.0,en,2019-09-27,India,Ashish Raikar,"Nassar, Raima Sen, Subrat Dutta, Zahid Hasan",,
La estrategia del silencio,83,8.0,es,2017-05-21,Spain,,,,
Trailer Park Boys: Swearnet Live,75,5.1,en,2014-10-01,Canada,"Mike Smith, John Paul Tremblay, Robb Wells","John Paul Tremblay, Robb Wells, Mike Smith, John Dunsworth, Patrick Roach",,
Air Mata di Ujung Sajadah,105,5.9,id,2023-09-07,Indonesia,Key Mangunsong,"Titi Kamal, Fedi Nuril, Citra Kirana, Muhammad Faqih Alaydrus, Krisjiana Baharudin",,
Nuestro Papa,0,6.0,it,2019-12-16,"Argentina, Italy","Tiziana Lupi, Marco Spagnoli","Iago García, Manu Fernandez, Marcelo Saltal, Manuela Fernández Vivian",,
Biko,98,2.0,ms,2022-10-13,Malaysia,Teng Bee,"Azrel Ismail, Baby Shima, Syed Muhammad Irfan, Sara Ali, Josiah Hogan",,
El hombre que quería verlo todo,93,7.25,ca,2021-03-25,Germany,Albert Albacete,Heinz Stücke,"traveler, documentary, history",
Para Sa Broken Hearted,92,2.0,tl,2018-10-03,Philippines,Digo Ricio,"Shy Carlos, Yassi Pressman, Louise delos Reyes, Marco Gumabao, Sam Concepcion",philippines,
Princes of the Palace - The Royal British Family,85,7.667,en,2016-03-07,,Alan Byron,"King Charles III of the United Kingdom, Camilla Shand, Elizabeth II of the United Kingdom, Prince Philip, Duke of Edinburgh",,
Virgilio,87,7.5,es,2022-09-20,,Alfred Oliveri,,,
Veve,90,6.2,en,2014-06-20,"Germany, Kenya",Simon Mukali,"Lowry Odhiambo, Emo Rugene, Lizz Njagah, Conrad Makeni, Abubakar Mire","businessman, politician, business rivalry",
로보카 폴리 스페셜: 사막 구조대 이야기,0,0.0,ko,2023-09-06,,,,,
Strangers,118,4.0,en,2022-04-29,,Biodun Stephen,"Lateef Adedimeji, Bimbo Oshin, Bolaji Ogunmola, Chris Iheuwa, Nonso Odogwu",,
Eeb Allay Ooo!,97,7.7,hi,2020-12-18,India,Prateek Vats,"Shardul Bhardwaj, Mahender Nath, Nutan Sinha, Shashi Bhushan, Naina Sareen","delhi, india, monkey, new job",
The Secrets of the Golden Compass,0,0.0,en,2007-12-07,,,Philip Pullman,,
Blockbuster,107,6.0,es,2013-11-30,Spain,Tirso Calero,"Manuel Zarzo, Adam Jezierski, María José Alfonso, Fernando Esteso, Jesús Guzmán","film in film, black and white",
Haciendo frente al enemigo,90,0.0,sk,2007-03-08,Slovakia,Patrik Lančarič,"Marko Igonda, Monika Hilmerová, Štefan Kvietik",prisoner,
Lara and the Beat,129,2.8,en,2018-07-20,Nigeria,Tosin Coker,"Seyi Shay, Vector, Somkele Iyamah Idhalama, Wale Ojo, Sharon Ooja",,
Die Florence Foster Jenkins Story,93,5.0,de,2016-11-10,Germany,Ralf Pleger,Joyce DiDonato,"biography, singing false",
Tales of Beatrix Potter (The Royal Ballet),90,0.0,en,2008-06-07,United Kingdom,Monica Mason,"Victoria Hewitt, Ricardo Cervera, Jonathan Howells, Gemma Sykes, Gary Avis",,
The Bird Can't Fly,89,7.0,en,2008-01-03,"Ireland, Netherlands, South Africa",Threes Anna,"Tina Ajaxa, Claire Berlein, Yusuf Davids, Amanda Dilma, Barbara Hershey",woman director,
Nacido y criado,100,5.4,es,2006-10-19,"United Kingdom, Argentina, Italy",Pablo Trapero,"Fernanda de Almeida, Federico Esquerro, Martina Gusmán, Tomás Lipán, Guillermo Pfening",,
Lucas Brothers: On Drugs,49,5.1,en,2017-04-18,United States of America,Jay Chapman,"Kenneth Lucas, Keith Lucas",stand-up comedy,
Mo Gilligan: There's Mo to Life,65,6.0,en,2022-02-17,,Chris Howe,Mo Gilligan,stand-up comedy,
Sve je dobro,15,0.0,hr,2021-02-14,Croatia,Ružica Anja Tadić,"Livio Badurina, Vibor Kreković, Dubravka Lelaš, Nikica Maro, Vili Matula",,
Govinda Govinda,137,0.0,kn,2021-11-26,India,Thilak,"Roopesh Shetty, Bhavana, Sumanth Shailendra, Kavitha Gowda, Pawan Kumar",,
No necesitan presentación con David Letterman y John Mulaney,47,7.5,en,2024-04-29,United States of America,Michael Steed,"David Letterman, John Mulaney",,
핑크퐁 시네마 콘서트 3: 진저브레드맨을 잡아라,65,0.0,ko,2023-07-26,South Korea,"Byeon Hee-sun, Im Da-yeong, Jeong Ji-eun, Baek So-hyeon","Jo Kyoung-i, Lee So-eun, Park Yo-han, Kim Sae-hae, Jang Ye-na",,
Brian Regan: On the Rocks,58,6.4,en,2021-02-23,United States of America,Troy Miller,Brian Regan,stand-up comedy,
Casual Day,95,4.8,es,2007-01-01,,Max Lemcke,"Juan Diego, Luis Tosar, Javier Ríos, Estíbaliz Gabilondo, Alberto San Juan",,
Home Wrecker,95,4.5,en,2023-07-07,,Stephina Zwane,"Enhle Mbali Mlotshwa, Lumko Leqela",,
A Simple Lie,0,0.0,en,2022-07-07,Nigeria,Biodun Stephen,"Bukunmi Adeaga-Ilori, Bisola Aiyeola, Emmanuel Ikubese, Kachi Nnochiri, Blessing Jessica Obasi-Nze",,
Waking The Titanic,51,6.0,en,2012-04-15,Canada,Frank Delaney,Miriam Kelly,,
Le troisième œil,17,4.5,fr,2014-06-26,France,Jérôme Perrillat-Collomb,"Marietta Ren, Anneliese Fromont, Magali Rosenzweig","psychology, childhood, metamorphosis",
My Own Man,82,6.3,en,2014-03-06,United States of America,David Sampliner,,,
Passport,109,8.5,en,2022-09-02,,Dimeji Ajibola,"Daniel Abua, Lateef Adedimeji, Stephen Damian, Lina Idoko, Jim Iyke",,
Women in Rock,45,6.0,en,1980-01-01,Germany,Wolfgang Büld,"Viv Albertine, Beate Bartel, Budgie, Gudrun Gut, Bettina Köster","musical, punk rock",
Autsajder,93,5.4,pl,2018-09-19,Poland,Adam Sikora,"Łukasz Sikora, Dorota Pomykała, Katarzyna Gałązka, Mariusz Bonaszewski, Adam Bobik",,
Tamirhane,113,3.8,tr,2022-11-10,Turkey,Erkan Kolçak Köstendil,"Nejat İşler, Rıza Kocaoğlu, Merve Dizdar, Bülent Şakrak, Ali Seçkiner Alıcı",,
Från och med Herr Gunnar Papphammar,47,7.2,sv,1981-02-20,Sweden,Gösta Ekman,"Gösta Ekman, Mats Arehn, Pia Ekman, Edith Aspegren",,
Rosa Morena,90,5.4,da,2011-05-12,"Brazil, Denmark",Carlos Augusto de Oliveira,"Anders W. Berthelsen, Iben Hjejle, David Dencik, Bárbara Garcia, Vivianne Pasmanter",,
Dachau: Death Camp,50,6.5,en,2021-01-25,Poland,Kamil Kulczycki,"Andre Bonet, Andrzej Branecki, Pieter Dietz de Loos, Dee Eberhart, Albin Kobentar",,
เดี่ยวสเปเชียล: ซูเปอร์ซอฟต์พาวเวอร์,138,7.3,th,2024-05-01,,Udom Taepanich,Udom Taepanich,"stand-up comedy, spectacle",
Fantasía,4,0.0,en,2022-08-11,,Jorge Castañeda Rincón,"Alexis Herber, Dhamar Sánchez, Laura Pérez Silva","romantic comedy, sexual fantasy, short film",
Knuckle City,120,0.0,en,2019-09-06,South Africa,Jahmil X.T. Qubeka,"Sivuyile Ngesi, Bongile Mantsai, Thembekile Komani, Patrick Ndlovu, Owen Sejake",boxing,
Última planta,79,5.7,pl,2013-11-29,Poland,Tadeusz Król,"Janusz Chabior, Joanna Orleańska, Barbara Garstka, Wojciech Zieliński, Ewa Bakalarska",,
من وإلى مير,62,5.333,ar,2021-06-28,Egypt,Maggie Morgan,Maggie Morgan,,
Tutto il giorno davanti,109,6.75,it,2020-03-10,,Luciano Manuzzi,"Isabella Ragonese, Sara D'Amario, Paolo Briguglia, Selene Caramazza, Enrico Gippetto",,
Serendipia,16,2.0,eu,2021-09-22,Spain,Iban del Campo,"Amancay Gaztañaga, Joseba Usabiaga","vaccine, pandemic, covid-19, short film",
Firecracker,15,5.3,en,2022-07-16,,Caroline Guo,"Lydia Jialu Li, Faye Nightingale",,
Wave of Cinema: Surat Dari Timur,57,0.0,id,2020-10-09,Indonesia,Saron Sakina,"Glenn Fredly, Marcello Tahitoe, Andien Aisyah, Cantika Abigail, Gamaliel Tapiheru",,
Bridezilla,93,5.2,id,2019-08-01,Indonesia,Andibachtiar Yusuf,"Jessica Mila, Rio Dewanto, Sheila Dara, Rafael Tan, Widyawati Sophiaan",,
"¿Qué te juegas, Mari Pili?",86,3.4,ca,1991-02-01,Spain,Ventura Pons,"Núria Hosta, Mercè Lleixà, Blanca Pàmpols, Pep Munné, Marc Martínez",,
Olvido y León,106,4.8,es,2021-03-26,,Xavier Bermúdez,"Marta Larralde, Guillem Jiménez, Monti Castiñeiras, Sergio Quintana",,
Todd Glass: Act Happy,62,5.4,en,2018-01-23,United States of America,Scott Moran,"Todd Glass, Duncan Carey, Eric Kalver, Gabriel Steiner, Lauren Reeves",stand-up comedy,
Drop It!,0,0.0,fr,2019-05-01,,,,,
Harley & Katya,86,7.8,en,2022-02-07,,Selina Miles,"Harley Windsor, Ekaterina Alexandrovskaya",figure skating,
Arte Factum: Legends,0,0.0,en,2018-01-15,United States of America,"Jezibell Anat, Nick Laws, Stephen Gilliam, Marty Matfess, Eli Montgomery, Jeffery Watson, Danielle Page, Eric E. Poe, Richard Tanner","Eric E. Poe, Shatareia Stokes, Julianna Johnston, Courtney Danielle Westman, Megan Lampp",,
Super Monsters: Vida's First Halloween,24,4.9,en,2019-10-04,,,,,
After the Raid,25,5.5,es,2019-12-19,"Mexico, United States of America",Rodrigo Reyes,,short film,
Roxanne Lowit Magic Moments,56,0.0,en,2016-10-14,,Yvonne Sciò,"Roxanne Lowit, Pat Cleveland, David LaChapelle, Julian Schnabel, Jeremy Scott","photographer, woman director, fashion photography",
சூப்பர் சீனியர் ஹீரோஸ்,140,6.0,ta,2022-10-16,India,Karthik Kumar,"K. Bhagyaraj, Ambika, Pandiarajan, Chinni Jayanth, Manobala",,
El testigo: Caín y Abel,76,6.4,es,2018-04-20,Colombia,Kate Horne,Jesús Abad Colorado,,
Köprüdekiler,87,6.3,tr,2009-04-15,Turkey,Aslı Özge,"Cemile Ilker, Umut Ilker, Fikret Portakal, Belma Topçakar",woman director,
Los centinelas,73,7.5,ro,2018-06-25,Romania,Liviu Mărghidan,"Vasile Calofir, Elias Ferkin, Stefan Giurgiu, Adela Marghidan, Radu Marghidan",,
Sofía Niño de Rivera: Selección natural,61,5.5,es,2018-03-30,Mexico,"Raúl Campos, Jan Suter",Sofía Niño de Rivera,stand-up comedy,
Merry Men 2: Another Mission,114,5.3,en,2019-12-20,Nigeria,Moses Inwang,"Damilola Adegbite, Alex Asogwa, Regina Daniels, Ireti Doyle, Jim Iyke",,
العم ناجي,125,4.0,ar,2021-10-28,United Arab Emirates,Ahmed Zain,"Ibrahim Almeirasi, Ahmed Saif, Mohamed Alkendi, Omar Hasan, Ali Alhojory","yacht, memory loss, gang, demon, yemen",
Det hopfällbara slottet,50,2.0,sv,1968-04-13,Sweden,Gunnel Linde,"Alice Babs, Titti Sjöblom, Lotta Olsson, Pierre Nilsson, Rolf Bengtsson",,
